"PITTagID","FishGutID","TripID","Region","Reach","RiverMile","Date","Time","Site","FishSpeciesID","ForkLength","Weight","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"000.20120421HA","2012-04-21_21:19:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:19:00","233","RBT",280,205.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421IA","2012-04-21_21:21:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:21:00","233","RBT",310,284,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421JA","2012-04-21_21:22:00","GC20120419","GrandCanyon","CRGrandCanyon",17.22,"04/21/2012","21:22:00","233","RBT",234,152,0,0,,,"06/12/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120421KA","2012-04-21_21:41:00","GC20120419","GrandCanyon","CRGrandCanyon",17.36,"04/21/2012","21:41:00","810","RBT",138,,0,0,,,"06/11/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422AA","2012-04-22_20:13:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:13:00","241","RBT",171,73,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422BA","2012-04-22_20:14:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:14:00","241","RBT",177,75.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422CA","2012-04-22_20:21:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:21:00","817","RBT",135,29.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422DA","2012-04-22_20:22:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:22:00","817","RBT",168,54.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422EA","2012-04-22_20:23:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:23:00","817","RBT",303,27,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422FA","2012-04-22_20:24:00","GC20120419","GrandCanyon","CRGrandCanyon",18.39,"04/22/2012","20:24:00","817","RBT",209,108.5,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422GA","2012-04-22_20:34:00","GC20120419","GrandCanyon","CRGrandCanyon",18.70,"04/22/2012","20:34:00","819","RBT",304,273,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422HA","2012-04-22_20:35:00","GC20120419","GrandCanyon","CRGrandCanyon",18.70,"04/22/2012","20:35:00","819","RBT",316,356,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422IA","2012-04-22_20:41:00","GC20120419","GrandCanyon","CRGrandCanyon",18.54,"04/22/2012","20:41:00","818","RBT",343,389,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120422JA","2012-04-22_20:42:00","GC20120419","GrandCanyon","CRGrandCanyon",18.54,"04/22/2012","20:42:00","818","RBT",83,8,0,0,,,"06/15/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423AA","2012-04-23_20:19:00","GC20120419","GrandCanyon","CRGrandCanyon",38.20,"04/23/2012","20:19:00","956","RBT",150,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423BA","2012-04-23_20:21:00","GC20120419","GrandCanyon","CRGrandCanyon",38.20,"04/23/2012","20:21:00","956","RBT",240,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423CA","2012-04-23_20:24:00","GC20120419","GrandCanyon","CRGrandCanyon",38.20,"04/23/2012","20:24:00","956","RBT",175,,0,0,,,"06/18/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423DA","2012-04-23_20:31:00","GC20120419","GrandCanyon","CRGrandCanyon",38.22,"04/23/2012","20:31:00","380","RBT",315,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423EA","2012-04-23_20:32:00","GC20120419","GrandCanyon","CRGrandCanyon",38.22,"04/23/2012","20:32:00","380","RBT",287,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423FA","2012-04-23_20:35:00","GC20120419","GrandCanyon","CRGrandCanyon",38.22,"04/23/2012","20:35:00","380","RBT",131,,0,0,,,"06/19/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423GA","2012-04-23_20:37:00","GC20120419","GrandCanyon","CRGrandCanyon",38.22,"04/23/2012","20:37:00","380","RBT",130,,0,0,,,"06/19/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423HA","2012-04-23_20:45:00","GC20120419","GrandCanyon","CRGrandCanyon",38.33,"04/23/2012","20:45:00","957","RBT",308,,0,0,,,"06/15/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423IA","2012-04-23_20:46:00","GC20120419","GrandCanyon","CRGrandCanyon",38.33,"04/23/2012","20:46:00","957","RBT",119,19.4,0,0,,,"06/20/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120423JA","2012-04-23_20:52:00","GC20120419","GrandCanyon","CRGrandCanyon",38.33,"04/23/2012","20:52:00","957","RBT",236,,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424AA","2012-04-24_20:12:00","GC20120419","GrandCanyon","CRGrandCanyon",39.45,"04/24/2012","20:12:00","388","RBT",279,222,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424BA","2012-04-24_20:15:00","GC20120419","GrandCanyon","CRGrandCanyon",39.45,"04/24/2012","20:15:00","388","RBT",146,36.8,0,0,,,"06/20/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424CA","2012-04-24_20:19:00","GC20120419","GrandCanyon","CRGrandCanyon",39.45,"04/24/2012","20:19:00","388","RBT",252,173.6,0,0,,,"06/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424DA","2012-04-24_20:21:00","GC20120419","GrandCanyon","CRGrandCanyon",39.45,"04/24/2012","20:21:00","388","RBT",157,44.6,0,0,,,"06/20/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424EA","2012-04-24_20:23:00","GC20120419","GrandCanyon","CRGrandCanyon",39.45,"04/24/2012","20:23:00","388","RBT",296,266,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424FA","2012-04-24_20:25:00","GC20120419","GrandCanyon","CRGrandCanyon",39.33,"04/24/2012","20:25:00","964","RBT",294,322,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424GA","2012-04-24_20:29:00","GC20120419","GrandCanyon","CRGrandCanyon",39.33,"04/24/2012","20:29:00","964","RBT",189,79,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424HA","2012-04-24_20:33:00","GC20120419","GrandCanyon","CRGrandCanyon",39.33,"04/24/2012","20:33:00","964","RBT",276,227,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424IA","2012-04-24_20:35:00","GC20120419","GrandCanyon","CRGrandCanyon",39.33,"04/24/2012","20:35:00","964","RBT",159,49,0,0,,,"06/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120424JA","2012-04-24_20:37:00","GC20120419","GrandCanyon","CRGrandCanyon",39.33,"04/24/2012","20:37:00","964","RBT",117,18.6,0,0,,,"06/21/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425AA","2012-04-25_20:45:00","GC20120419","GrandCanyon","CRGrandCanyon",60.20,"04/25/2012","20:45:00","1114","RBT",172,68.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425BA","2012-04-25_20:46:00","GC20120419","GrandCanyon","CRGrandCanyon",60.20,"04/25/2012","20:46:00","1114","RBT",249,191,0,0,,,"06/22/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425CA","2012-04-25_20:59:00","GC20120419","GrandCanyon","CRGrandCanyon",60.34,"04/25/2012","20:59:00","1115","RBT",278,261,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425DA","2012-04-25_21:00:00","GC20120419","GrandCanyon","CRGrandCanyon",60.34,"04/25/2012","21:00:00","1115","RBT",159,42.8,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425EA","2012-04-25_21:03:00","GC20120419","GrandCanyon","CRGrandCanyon",60.24,"04/25/2012","21:03:00","537","RBT",253,172,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425FA","2012-04-25_21:07:00","GC20120419","GrandCanyon","CRGrandCanyon",60.24,"04/25/2012","21:07:00","537","BNT",159,50.7,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425GA","2012-04-25_21:09:00","GC20120419","GrandCanyon","CRGrandCanyon",60.24,"04/25/2012","21:09:00","537","RBT",327,359,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425HA","2012-04-25_21:17:00","GC20120419","GrandCanyon","CRGrandCanyon",60.47,"04/25/2012","21:17:00","1116","RBT",341,400,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425IA","2012-04-25_21:19:00","GC20120419","GrandCanyon","CRGrandCanyon",60.47,"04/25/2012","21:19:00","1116","RBT",195,91,0,0,,,"06/25/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425JA","2012-04-25_21:23:00","GC20120419","GrandCanyon","CRGrandCanyon",60.36,"04/25/2012","21:23:00","538","RBT",312,354,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425KA","2012-04-25_21:24:00","GC20120419","GrandCanyon","CRGrandCanyon",60.36,"04/25/2012","21:24:00","538","RBT",308,318,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425LA","2012-04-25_21:46:00","GC20120419","GrandCanyon","CRGrandCanyon",60.75,"04/25/2012","21:46:00","1118","BNT",288,233,0,0,,,"06/25/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120425MA","2012-04-25_22:49:00","GC20120419","GrandCanyon","CRGrandCanyon",61.01,"04/25/2012","22:49:00","543","BNT",472,1115,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426AA","2012-04-26_20:10:00","GC20120419","GrandCanyon","CRGrandCanyon",63.44,"04/26/2012","20:10:00","1138","RBT",311,333,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426BA","2012-04-26_20:26:00","GC20120419","GrandCanyon","CRGrandCanyon",63.44,"04/26/2012","20:26:00","1138","RBT",270,210,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426CA","2012-04-26_20:27:00","GC20120419","GrandCanyon","CRGrandCanyon",63.44,"04/26/2012","20:27:00","1138","RBT",268,201,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426DA","2012-04-26_20:28:00","GC20120419","GrandCanyon","CRGrandCanyon",63.44,"04/26/2012","20:28:00","1138","RBT",296,267,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426EA","2012-04-26_20:35:00","GC20120419","GrandCanyon","CRGrandCanyon",63.46,"04/26/2012","20:35:00","561","RBT",280,251,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426FA","2012-04-26_20:50:00","GC20120419","GrandCanyon","CRGrandCanyon",63.72,"04/26/2012","20:50:00","1140","RBT",287,255,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426GA","2012-04-26_20:51:00","GC20120419","GrandCanyon","CRGrandCanyon",63.72,"04/26/2012","20:51:00","1140","RBT",171,72.8,0,0,,,"06/26/2012",,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
"000.20120426HA","2012-04-26_20:56:00","GC20120419","GrandCanyon","CRGrandCanyon",63.59,"04/26/2012","20:56:00","562","RBT",263,202,0,0,,,,,0,,,"SampleTime seconds retroactively entered for formatting purposes--it's almost certainly not :00 (2018-02-26 JDM). PIT Tag rectroactively assigned (2018-05-09 JDM)."
