"SpID","SpeciesID","Description","CommonName","Fishgut","FishgutPrey","LightTrap","Benthic","Drift","Sticky","Pitfall","Malaise","RegressionA","RegressionB","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","Species","Habitat","Stage","FFG","MHBI","Notes","Group","BenthicID","DriftID","AFDM_Multiplier"
49,"MYCA","Diptera: Mycetophilidae (Adult)","fungus gnat",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Sciaroidea","Mycetophilidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
50,"PHOA","Diptera: Phoridae (Adult)","scuttle fly",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Platypezoidea","Phoridae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
51,"SIMA","Diptera: Simuliidae (Adult)","black fly",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Diptera",,"Simuliidae",,,"Aquatic","Adult","CollectorFilterer","6",,"AQDIPT",,34.00,
52,"SIML","Diptera: Simuliidae (Larva)","",0,1,0,1,1,0,0,0,4.0e-03,2.80,"Animalia","Arthropoda","Insecta","Diptera",,"Simuliidae",,,"Aquatic","Larva","CollectorFilterer","6",,"AQDIPT",5.00,5.00,1.00
53,"SIMP","Diptera: Simuliidae (Pupa)","",0,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Simuliidae",,,"Aquatic","Pupa","CollectorFilterer","6",,"AQDIPT",28.00,27.00,0.00
55,"SPHA","Diptera: Sphaeroceridae (Adult)","lesser dung fly",0,1,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Sphaeroceridae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
56,"TABA","Diptera: Tabanidae (Adult)","horse fly",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,"Tabanidae",,,"Terrestrial","Adult",,,,"TEDIPT",,,
57,"TANA","Diptera: Tanyderidae (Adult)","primitive crane fly",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Tipulomorpha","Tanyderidae",,,"Terrestrial","Adult",,,"semi-aquatic","TEDIPT",,,
58,"DIPT","Diptera (Adult)","Fly adult (generic)",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Diptera",,,,,"Terrestrial","Adult","Generalist",,,"TEDIPT",,,
59,"TIPA","Diptera: Tipulidae (Adult)","crane fly",0,0,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Diptera","Tipulomorpha","Tipulidae",,,"Terrestrial","Adult",,,"possibly aquatic","TEDIPT",,,
60,"TIPL","Diptera: Tipulidae (Larva)","molopholus",0,1,0,1,1,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Diptera","Tipulomorpha","Tipulidae",,,"Aquatic","Larva","Shredder","3","Aquatic?","AQDIPT",33.00,,0.00
61,"DIRE","Diptera (Adult)","",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Diptera",,,,,"Terrestrial","Adult",,,,"TEDIPT",,,
62,"EPHL","Ephemeroptera (Larva)","mayfly",0,1,1,1,1,0,1,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Ephemeroptera",,,,,"Aquatic","Larva",,,,"AQEPHE",40.00,,0.00
63,"EPHA","Ephemeroptera (Adult)","",0,1,1,0,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Ephemeroptera",,,,,"Aquatic","Adult",,,,"AQEPHE",,,
64,"BHS","Cyprinoformes: Catostomidae: Catostomus discobolus","Bluehead sucker",1,1,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Catostomidae","Catostomus","discobolus","Aquatic",,,,,"AQMISC",,,
65,"FEGG","Actinopterygii","Fish eggs",0,1,0,1,0,0,0,0,,,"Animalia","Chordata","Actinopterygii",,,,,,"Aquatic",,,,,"AQMISC",,,
66,"FMS","Cyprinoformes: Catostomidae: Catostomus latipinnis","Flannelmouth sucker",1,1,0,0,1,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Catostomidae","Catostomus","latipinnis","Aquatic",,,,,"AQMISC",,,
67,"HBC","Cyprinoformes: Cyprinidae: Gila cypha","Humpback chub",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Cyprinidae","Gila","cypha","Aquatic",,,,,"AQMISC",,,
68,"RBT","Salmoniformes: Salmonidae: Oncorhynchus mykiss","Rainbow trout",1,1,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Salmoniformes",,"Salmonidae","Oncorhynchus","mykiss","Aquatic",,,,,"AQMISC",,,
69,"FHM","Cyprinoformes: Cyprinidae: Pimephales promelas","Fathead minnow",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Cyprinidae","Pimephales","promelas","Aquatic",,,,,"AQMISC",,,
70,"SPD","Cyprinoformes: Cyprinidae: Rhinichthys osculus","Speckled dace",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Cyprinidae","Rhinichthys","osculus","Aquatic",,,,,"AQMISC",,,
71,"BNT","Salmoniformes: Salmonidae: Salmo trutta","Brown trout",1,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Salmoniformes",,"Salmonidae","Salmo","trutta","Aquatic",,,,,"AQMISC",,,
72,"CYP","Cyprinoformes","Cyprinid (generic)",0,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,,,,"Aquatic",,,,,"AQMISC",,,
73,"SUC","Cyprinoformes: Catostomidae","Sucker (generic)",0,0,0,0,0,0,0,0,,,"Animalia","Chordata","Actinopterygii","Cyprinoformes",,"Catostomidae",,,"Aquatic",,,,,"AQMISC",,,
74,"FISH","Actinopterygii","Fish (generic)",0,1,0,1,1,0,0,0,,,"Animalia","Chordata","Actinopterygii",,,,,,"Aquatic",,,,,"AQMISC",,,
75,"GAM","Amphipoda: Gammaridae: Gammarus lacustris","Scud",0,1,0,1,1,0,0,0,0.02,1.96,"Animalia","Arthropoda","Malacostraca","Amphipoda",,"Gammaridae","Gammarus","lacustris","Aquatic",,,,,"AQMISC",4.00,4.00,1.00
76,"NZMS","Littorinimorpha: Tateidae: Potamopyrgus antipodarum","New Zealand mud snail",0,1,0,1,1,0,1,0,0.02,2.43,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Truncatelloidea","Tateidae","Potamopyrgus","antipodarum","Aquatic",,,,,"AQMISC",2.00,2.00,1.00
77,"LIMP","Gastropoda","",0,0,0,1,1,0,0,0,,,"Animalia","Mollusca","Gastropoda",,,,,,"Aquatic",,,,,"AQMISC",41.00,,
78,"GASN","Gastropoda","Snail (generic)",0,0,0,1,1,0,0,0,,,"Animalia","Mollusca","Gastropoda",,,,,,"Aquatic",,,,,"AQMISC",,,
79,"PHYS","Hygrophila: Physidae","Snail",0,1,0,1,1,0,0,0,0.03,2.48,"Animalia","Mollusca","Gastropoda","Hygrophila","Planorboidea","Physidae",,,"Aquatic",,,,,"AQMISC",14.00,14.00,0.80
80,"APHI","Hemiptera: Aphididae","aphid",0,1,1,0,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Hemiptera","Aphidoidea","Aphididae",,,"Terrestrial",,"Herbivore",,,"TEHEMI",,,
81,"CIAE","Hemiptera: Cicadellidae","leafhopper",0,1,1,0,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadoidea","Cicadellidae",,,"Terrestrial",,"Herbivore",,,"TEHEMI",,,
82,"CORI","Hemiptera: Corixidae","waterboatman",0,0,1,1,1,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Hemiptera",,"Corixidae",,,"Aquatic",,"ScraperGrazer","5",,"AQHEMI",37.00,,0.00
83,"HEMA","Hemiptera","true bug",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Hemiptera",,,,,"Terrestrial",,"Generalist",,,"TEHEMI",,,
84,"COLL","Collembola","Springtail",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Entognatha","Collembola",,,,,"Terrestrial",,"Generalist",,,"TECOLL",11.00,11.00,
85,"APID","Hymenoptera: Apidae","bee",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Apoidea","Apidae",,,"Terrestrial",,,,,"TEHYME",,,
86,"BRAC","Hymenoptera: Braconidae","braconid wasp",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonoidea ","Braconidae",,,"Terrestrial",,,,,"TEHYME",,,
87,"FORM","Hymenoptera: Formicidae","ant",0,1,1,1,1,0,1,1,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicoidea","Formicidae",,,"Terrestrial",,"Generalist",,,"TEHYME",,,
88,"ICHN","Hymenoptera: Ichneumonidae","Ichneumon wasp",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Ichneumonoidea ","Ichneumonidae",,,"Terrestrial",,,,,"TEHYME",,,
89,"PTER","Hymenoptera: Pteromalidae","pteromalid",0,0,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Chalcidoidea","Pteromalidae",,,"Terrestrial",,,,,"TEHYME",,,
90,"VESP","Hymenoptera: Vespidae","wasp",0,1,0,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Hymenoptera","Vespoidea","Vespidae",,,"Terrestrial",,,,,"TEHYME",,,
91,"HYMA","Hymenoptera (Adult)","sawfly, wasp, bee, ant adults",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Hymenoptera",,,,,"Terrestrial","Adult","Generalist",,,"TEHYME",,,
92,"INSM","Insecta","Insect (generic terrestrial)",0,1,1,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta",,,,,,"Terrestrial",,,,,"TEMISC",25.00,25.00,
93,"INWT","Insecta","Insect (generic winged)",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta",,,,,,"Terrestrial",,,,,"TEMISC",,28.00,
94,"CISP","Lepidoptera: Erebidae: Cisthene angelus","lichen moth",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuoidea","Erebidae","Cisthene","angelus","Terrestrial",,,,,"TECISP",,,
97,"CLAM","Veneroida: Dreissenidae: Dreissena spp.","clam",0,1,0,1,1,0,0,0,0.02,2.45,"Animalia","Mollusca","Bivalvia","Veneroida","Dreissenoidae","Dreissenidae","Dreissena",,"Aquatic",,"CollectorFilterer","8",,"AQMISC",13.00,13.00,0.85
98,"NEMA","Nematoda","""Olig c"" (generic nematode)",0,1,0,1,1,0,0,0,,,"Animalia","Nematoda",,,,,,,"Aquatic",,,,,"AQMISC",12.00,12.00,
99,"CHRS","Neuroptera: Chrysopidae","green lacewing",0,0,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Neuroptera",,"Chrysopidae",,,"Terrestrial",,,,,"TENEUR",,,
100,"HEME","Neuroptera: Hemerobiidae","brown lacewing",0,1,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Neuroptera",,"Hemerobiidae",,,"Terrestrial",,,,,"TENEUR",,,
101,"MYRM","Neuroptera: Myrmeleontidae","antlion",0,0,1,0,0,1,0,1,,,"Animalia","Arthropoda","Insecta","Neuroptera",,"Myrmeleontidae",,,"Terrestrial",,,,,"TENEUR",,,
102,"NOBU","NOBU: NOBU: NOBU NOBU","Empty sample",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","NOBU","NOBU","NOBU","NOBU","NOBU",,,,,,"NOBU",38.00,31.00,
103,"DRAA","Odonata (Adult)","dragonfly",0,0,0,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Anisoptera (Suborder)",,,,"Aquatic","Adult",,,,"AQODON",,,
104,"DRAL","Odonata (larva)","",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Anisoptera (Suborder)",,,,"Aquatic","larva",,,,"AQODON",,,
105,"DAMA","Odonata (Adult)","damselfly",0,1,1,0,0,0,0,0,,,"Animalia","Arthropoda","Insecta","Odonata","Zygoptera (Suborder)",,,,"Aquatic","Adult",,,,"AQODON",,,
106,"DAML","Odonata (larva)","",0,1,0,1,0,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Odonata","Zygoptera (Suborder)",,,,"Aquatic","larva","Predator",,,"AQODON",35.00,,0.00
107,"ANN","Annelida","Earthworm (generic)",0,1,1,1,1,0,0,0,6.8e-03,2.28,"Animalia","Annelida",,,,,,,"Aquatic",,,,,"AQMISC",8.00,8.00,1.00
108,"LUMB","Lumbriculida: Lumbriculidae","""Olig b"" (freshwater worm)",0,1,0,1,1,0,0,0,0.01,1.04,"Animalia","Annelida","Clitellata","Lumbriculida",,"Lumbriculidae",,,"Aquatic",,,,,"AQMISC",1.00,1.00,1.00
109,"ORTH","Orthoptera","grasshopper, cricket, katydid",0,1,1,1,1,0,1,0,,,"Animalia","Arthropoda","Insecta","Orthoptera",,,,,"Terrestrial",,"Herbivore",,,"TEORTH",,,
110,"OSTR","Ostracoda","Ostracod zooplankton",0,0,0,1,1,0,0,0,1.6e-03,4.24,"Animalia","Arthropoda","Ostracoda",,,,,,"Aquatic",,,,,"AQMISC",6.00,6.00,0.85
111,"PLAN","Tricladida: Planariidae","Flatworm (generic)",0,1,0,1,1,0,0,0,5.6e-03,2.19,"Animalia","Platyhelminthes","Rhabditophora","Tricladida",,"Planariidae",,,"Aquatic",,,,,"AQMISC",7.00,7.00,1.00
112,"TARD","Tardigrada","water bear, moss piglet",0,0,0,1,1,0,0,0,,,"Animalia","Tardigrada",,,,,,,"Aquatic",,,,"semiaquatic?","AQMISC",30.00,29.00,
113,"VERT","Chordata","Terrestrial vertebrate",0,0,0,0,0,0,0,0,,,"Animalia","Chordata",,,,,,,"Aquatic",,,,,"AQMISC",,,
114,"PLAT","Plants (terrestrial)","Plants (terrestrial)",0,1,0,0,1,0,0,0,,,"Plantae",,,,,,,,"Terrestrial",,,,,"TEPLAN",,,
115,"THYS","Thysanoptera","thrip",0,1,1,1,1,1,1,1,,,"Animalia","Arthropoda","Insecta","Thysanoptera",,,,,"Terrestrial",,"Herbivore",,,"TETHYS",,,
116,"HYPL","Trichoptera: Hydropsychidae (Larva)","net-spinning caddisfly larvae",0,0,0,1,1,0,0,0,7.4e-03,2.66,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydropsychidae",,,"Aquatic","Larva","CollectorFilterer","4",,"AQTRIC",36.00,32.00,1.00
117,"HYDL","Trichoptera: Hydroptilidae (Larva)","purse-case caddisfly",0,0,0,1,1,0,0,0,0.16,1.00,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Larva","ScraperGrazer","4",,"AQTRIC",16.00,16.00,1.00
118,"HYDP","Trichoptera: Hydroptilidae (Pupa)","",0,0,0,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Pupa",,"4",,"AQTRIC",,,
119,"HYDA","Trichoptera: Hydroptilidae (Adult)","microcaddisfly adults",0,0,1,1,1,1,0,1,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Hydroptilidae",,,"Aquatic","Adult",,"4",,"AQTRIC",,,
120,"RHYL","Trichoptera: Rhyacophilidae: Rhyacophila spp. (Larva)","Caseless green caddisfly larvae",0,1,0,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,"Rhyacophilidae","Rhyacophila",,"Aquatic","Larva","Predator","1",,"AQTRIC",17.00,17.00,
121,"TRIL","Trichoptera (Larva)","",0,1,1,1,1,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Trichoptera",,,,,"Aquatic","Larva",,,,"AQTRIC",39.00,,0.00
122,"TRIA","Trichoptera (Adult)","caddisfly",0,1,1,1,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Trichoptera",,,,,"Aquatic","Adult",,,,"AQTRIC",,,
123,"CICA","Hemiptera: Cicadidae","cicada",0,1,1,0,1,0,0,0,,,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadoidea","Cicadidae",,,"Terrestrial",,,,,"TEHEMI",,,
124,"PYRL","Lepidoptera: Pyralidae (Larva)","pyralid",0,0,0,1,0,0,0,0,0.00,0.00,"Animalia","Arthropoda","Insecta","Lepidoptera","Pyraloidea","Pyralidae",,,"Terrestrial","Larva",,,,"TELEPI",34.00,,0.00
