"BarcodeID","TripID","Region","Reach","RiverMile","Bank","Date","Collector","Orientation","TimeElapsed","FlagStrange","FlagDelete","EntererSample","Processor","ProcessDate","ProcessTime","QAQC","Checker","EntererSpecimen","Notes"
"S00024","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Land",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"Sandy. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00025","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 2 m lateral from tributary, at a distance of 50 m up tributary from confluence. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00026","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 5 m lateral from tributary, at a distance of 50 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away from MS"
"S00027","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 10 m lateral from tributary, at a distance of 18-50 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away fro"
"S00028","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 25 m lateral from tributary, at a distance of 18-50 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away fro"
"S00029","GC20130622","GrandCanyon","North",50.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 50 m lateral from tributary, at a distance of 18-50 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away fro"
"S00030","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00031","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00032","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00033","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00034","GC20130622","GrandCanyon","North",200.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 100 m lateral from tributary, at a distance of 18-50 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away fr"
"S00035","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00036","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00037","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00038","GC20130622","GrandCanyon","CRGrandCanyon",,,"06/22/2014",,,1,1,1,"MuehlbauerJ",,,,0,,,"Adam Copp did something silly with these. Data not useful or relevant to the rest of the sampling scheme and DO NOT represent possible missing traps. Traps thrown out."
"S00039","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Trap set laterally (perpendicular from mainstem), 18 m lateral from mainstem, at a distance of 200 m up mainstem from North tributary confluence."
"S00040","GC20130622","GrandCanyon","North",18.00,"LB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Trap set laterally (perpendicular from tributary), 200 m lateral from tributary, at a distance of 18 m up tributary from confluence. Adam followed canyon slope heading up MS, laterally away from trib. Started at 50 m at trib, ended at only 18 m away from"
"S00041","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Trap set laterally (perpendicular from mainstem), 10 m lateral from mainstem, at a distance of 200 m up mainstem from North tributary confluence."
"S00042","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Trap set laterally (perpendicular from mainstem), 5 m lateral from mainstem, at a distance of 200 m up mainstem from North tributary confluence."
"S00043","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Trap set laterally (perpendicular from mainstem), 2 m lateral from mainstem, at a distance of 200 m up mainstem from North tributary confluence."
"S00044","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00045","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00046","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00047","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00048","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence."
"S00049","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence."
"S00050","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence."
"S00051","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence."
"S00052","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00053","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00054","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00055","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00056","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence."
"S00057","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence."
"S00058","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence."
"S00059","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence."
"S00060","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"LB","06/22/2013",,"Water",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence. Sandy."
"S00061","GC20130622","GrandCanyon","CRGrandCanyon",19.78,"LB","06/22/2013",,"US",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"1600 m upstream of North confluence. Sandy."
"S00062","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00063","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00064","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00065","GC20130622","GrandCanyon","CRGrandCanyon",20.27,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m upstream of North confluence."
"S00066","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence."
"S00067","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"LB","06/22/2013",,"Land",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence. Debris."
"S00068","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"LB","06/22/2013",,"US",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence. Sandy."
"S00069","GC20130622","GrandCanyon","CRGrandCanyon",20.52,"LB","06/22/2013",,"DS",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m upstream of North confluence. Sandy."
"S00070","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"LB","06/22/2013",,"Water",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Sandy."
"S00071","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00072","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence."
"S00073","GC20130622","GrandCanyon","CRGrandCanyon",20.65,"LB","06/22/2013",,"DS",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m upstream of North confluence. Debris, sandy."
"S00074","GC20130622","GrandCanyon","CRGrandCanyon",20.71,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m upstream of North confluence."
"S00075","GC20130622","GrandCanyon","CRGrandCanyon",20.71,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m upstream of North confluence."
"S00076","GC20130622","GrandCanyon","CRGrandCanyon",20.71,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m upstream of North confluence."
"S00077","GC20130622","GrandCanyon","CRGrandCanyon",20.71,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m upstream of North confluence."
"S00078","GC20130622","GrandCanyon","CRGrandCanyon",20.74,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m upstream of North confluence."
"S00079","GC20130622","GrandCanyon","CRGrandCanyon",20.74,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m upstream of North confluence."
"S00080","GC20130622","GrandCanyon","CRGrandCanyon",20.74,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m upstream of North confluence."
"S00081","GC20130622","GrandCanyon","CRGrandCanyon",20.74,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m upstream of North confluence."
"S00082","GC20130622","GrandCanyon","CRGrandCanyon",20.77,"LB","06/22/2013",,"US",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At upstream side of North confluence. Debris."
"S00083","GC20130622","GrandCanyon","CRGrandCanyon",20.77,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At upstream side of North confluence."
"S00084","GC20130622","GrandCanyon","CRGrandCanyon",20.77,"LB","06/22/2013",,"Land",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At upstream side of North confluence. Debris."
"S00085","GC20130622","GrandCanyon","CRGrandCanyon",20.77,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At upstream side of North confluence."
"S00086","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00087","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00088","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00089","GC20130622","GrandCanyon","CRGrandCanyon",20.80,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"50 m downstream of North confluence."
"S00090","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00091","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00092","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00093","GC20130622","GrandCanyon","CRGrandCanyon",20.83,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"100 m downstream of North confluence."
"S00094","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00095","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00096","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00097","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00098","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence. Stored in experimental plate bundle."
"S00099","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00100","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00101","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00102","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00103","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00104","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00105","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00106","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00107","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00108","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00109","GC20130622","GrandCanyon","CRGrandCanyon",21.27,"LB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"800 m downstream of North confluence."
"S00110","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"LB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00111","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"LB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00112","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"LB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence."
"S00113","GC20130622","GrandCanyon","CRGrandCanyon",21.02,"LB","06/22/2013",,"DS",1,1,0,"MuehlbauerJ","GoodenoughD",,,0,,,"400 m downstream of North confluence. Debris."
"S00114","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"RB","06/22/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00115","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"RB","06/22/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence. Stored in experimental plate bundle."
"S00116","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"RB","06/22/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00117","GC20130622","GrandCanyon","CRGrandCanyon",20.89,"RB","06/22/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"200 m downstream of North confluence."
"S00118","GC20130622","GrandCanyon","CRGrandCanyon",52.54,"RB","06/24/2013",,"Water",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At Nankoweep confluence."
"S00119","GC20130622","GrandCanyon","CRGrandCanyon",52.54,"RB","06/24/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At Nankoweep confluence."
"S00120","GC20130622","GrandCanyon","CRGrandCanyon",52.54,"RB","06/24/2013",,"US",1,1,1,"MuehlbauerJ",,,,0,,,"At Nankoweep confluence. Trap lost."
"S00121","GC20130622","GrandCanyon","CRGrandCanyon",52.54,"RB","06/24/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"At Nankoweep confluence."
"S00122","GC20130622","GrandCanyon","Nankoweep",50.00,"LB","06/24/2013",,"US",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00123","GC20130622","GrandCanyon","Nankoweep",50.00,"LB","06/24/2013",,"DS",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00124","GC20130622","GrandCanyon","Nankoweep",50.00,"LB","06/24/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00125","GC20130622","GrandCanyon","Nankoweep",50.00,"LB","06/24/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Very sandy. ""River mile"" is actually meters upstream of confluence with mainstem."
"S00126","GC20130622","GrandCanyon","Nankoweep",100.00,"LB","06/24/2013",,"Land",1,0,0,"MuehlbauerJ","GoodenoughD",,,0,,,"""River mile"" is actually meters upstream of confluence with mainstem."
"S00127","GC20130622","GrandCanyon","Nankoweep",100.00,"LB","06/24/2013",,"Water",1,1,1,"MuehlbauerJ","GoodenoughD",,,0,,,"Sandy. ""River mile"" is actually meters upstream of confluence with mainstem."
